Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,5.94,144.11
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,5.80,107.53
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,5.78,102.79
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,5.92,105.08
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,5.99,105.73
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,6.09,136.36
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,5.95,125.76
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,5.92,106.01
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,5.68,104.13
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,5.88,105.26
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,7.96,103.43
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,8.08,126.95
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,7.88,149.92
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,7.66,118.97
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,8.13,115.09
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,7.97,117.27
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,8.04,117.48
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,7.74,145.11
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,7.62,108.32
Ca_wave_RyR2CaM_simple_SERCA_SOCE_2x_buffers,1.2,7.89,129.61
Ca_wave_normal_SERCA_aging,1.2,0.64,47.76
Ca_wave_normal_SERCA_aging,1.2,0.72,65.05
Ca_wave_normal_SERCA_aging,1.2,0.70,47.40
Ca_wave_normal_SERCA_aging,1.2,0.60,191.09
Ca_wave_normal_SERCA_aging,1.2,0.61,77.16
Ca_wave_normal_SERCA_aging,1.2,0.62,63.98
Ca_wave_normal_SERCA_aging,1.2,0.55,58.10
Ca_wave_normal_SERCA_aging,1.2,0.64,64.20
Ca_wave_normal_SERCA_aging,1.2,0.59,61.27
Ca_wave_normal_SERCA_aging,1.2,0.58,104.96
Ca_wave_normal_SERCA_aging,1.2,1.24,68.87
Ca_wave_normal_SERCA_aging,1.2,1.27,80.28
Ca_wave_normal_SERCA_aging,1.2,1.20,60.79
Ca_wave_normal_SERCA_aging,1.2,1.29,68.36
Ca_wave_normal_SERCA_aging,1.2,1.18,68.20
Ca_wave_normal_SERCA_aging,1.2,1.46,91.18
Ca_wave_normal_SERCA_aging,1.2,1.16,60.02
Ca_wave_normal_SERCA_aging,1.2,1.38,49.93
Ca_wave_normal_SERCA_aging,1.2,1.37,60.44
Ca_wave_normal_SERCA_aging,1.2,1.37,69.60
Ca_wave_normal_SERCA_aging,1.2,3.36,144.63
Ca_wave_normal_SERCA_aging,1.2,3.26,127.46
Ca_wave_normal_SERCA_aging,1.2,3.27,114.67
Ca_wave_normal_SERCA_aging,1.2,3.35,110.63
Ca_wave_normal_SERCA_aging,1.2,2.99,117.67
Ca_wave_normal_SERCA_aging,1.2,3.41,97.63
Ca_wave_normal_SERCA_aging,1.2,2.98,91.41
Ca_wave_normal_SERCA_aging,1.2,3.29,107.88
Ca_wave_normal_SERCA_aging,1.2,3.17,124.30
Ca_wave_normal_SERCA_aging,1.2,3.37,114.85
Ca_wave_normal_SERCA_aging,1.2,6.89,249.63
Ca_wave_normal_SERCA_aging,1.2,6.98,205.02
Ca_wave_normal_SERCA_aging,1.2,7.12,225.70
Ca_wave_normal_SERCA_aging,1.2,7.18,145.13
Ca_wave_normal_SERCA_aging,1.2,6.78,403.45
Ca_wave_normal_SERCA_aging,1.2,7.28,203.32
Ca_wave_normal_SERCA_aging,1.2,6.55,134.46
Ca_wave_normal_SERCA_aging,1.2,6.85,305.30
Ca_wave_normal_SERCA_aging,1.2,6.93,164.48
Ca_wave_normal_SERCA_aging,1.2,7.07,204.95
Ca_wave_normal_SERCA_aging,1.2,8.98,320.41
Ca_wave_normal_SERCA_aging,1.2,9.44,265.98
Ca_wave_normal_SERCA_aging,1.2,9.19,293.27
Ca_wave_normal_SERCA_aging,1.2,8.96,244.98
Ca_wave_normal_SERCA_aging,1.2,9.01,351.92
Ca_wave_normal_SERCA_aging,1.2,8.77,259.31
Ca_wave_normal_SERCA_aging,1.2,8.70,215.36
Ca_wave_normal_SERCA_aging,1.2,8.76,223.48
Ca_wave_normal_SERCA_aging,1.2,8.98,276.12
Ca_wave_normal_SERCA_aging,1.2,8.79,232.55
