condition,model,x,y
Ca_wave_simple_SERCA_SOCE,1.2,3.108,9.59
Ca_wave_simple_SERCA_SOCE,1.2,3.108,9.09
Ca_wave_simple_SERCA_SOCE,1.2,3.108,10.10
Ca_wave_simple_SERCA_SOCE,1.2,3.108,9.59
Ca_wave_simple_SERCA_SOCE,1.2,3.108,8.08
Ca_wave_simple_SERCA_SOCE,1.2,3.108,7.57
Ca_wave_simple_SERCA_SOCE,1.2,3.108,11.61
Ca_wave_simple_SERCA_SOCE,1.2,5.890,10.60
Ca_wave_simple_SERCA_SOCE,1.2,5.890,13.13
Ca_wave_simple_SERCA_SOCE,1.2,5.890,11.61
Ca_wave_simple_SERCA_SOCE,1.2,5.890,9.59
Ca_wave_simple_SERCA_SOCE,1.2,5.890,9.09
Ca_wave_simple_SERCA_SOCE,1.2,5.890,10.60
Ca_wave_simple_SERCA_SOCE,1.2,5.890,10.10
Ca_wave_simple_SERCA_SOCE,1.2,5.890,11.61
Ca_wave_simple_SERCA_SOCE,1.2,5.890,9.09
Ca_wave_simple_SERCA_SOCE,1.2,5.890,11.61
Ca_wave_simple_SERCA_SOCE,1.2,7.512,12.62
Ca_wave_simple_SERCA_SOCE,1.2,7.512,13.63
Ca_wave_simple_SERCA_SOCE,1.2,7.512,11.11
Ca_wave_simple_SERCA_SOCE,1.2,7.512,12.12
Ca_wave_simple_SERCA_SOCE,1.2,7.512,11.61
Ca_wave_simple_SERCA_SOCE,1.2,7.512,11.61
Ca_wave_simple_SERCA_SOCE,1.2,7.512,10.60
Ca_wave_simple_SERCA_SOCE,1.2,7.512,12.62
Ca_wave_simple_SERCA_SOCE,1.2,7.512,11.11
Ca_wave_simple_SERCA_SOCE,1.2,7.512,11.61
Ca_wave_simple_SERCA_SOCE,2.4,0.570,2.52
Ca_wave_simple_SERCA_SOCE,2.4,0.570,8.58
Ca_wave_simple_SERCA_SOCE,2.4,0.570,2.02
Ca_wave_simple_SERCA_SOCE,2.4,0.570,1.51
Ca_wave_simple_SERCA_SOCE,2.4,0.570,1.01
Ca_wave_simple_SERCA_SOCE,2.4,0.570,2.52
Ca_wave_simple_SERCA_SOCE,2.4,0.570,1.01
Ca_wave_simple_SERCA_SOCE,2.4,0.570,2.02
Ca_wave_simple_SERCA_SOCE,2.4,0.570,1.51
Ca_wave_simple_SERCA_SOCE,2.4,0.570,4.04
Ca_wave_simple_SERCA_SOCE,2.4,1.170,2.02
Ca_wave_simple_SERCA_SOCE,2.4,1.170,2.52
Ca_wave_simple_SERCA_SOCE,2.4,1.170,2.02
