condition,model,x,y
Ca_wave_simple_SERCA_SOCE,2.4,1050,119.94
Ca_wave_simple_SERCA_SOCE,2.4,1050,143.56
Ca_wave_simple_SERCA_SOCE,2.4,1050,119.45
Ca_wave_simple_SERCA_SOCE,2.4,1050,149.60
Ca_wave_simple_SERCA_SOCE,2.4,1050,133.11
Ca_wave_simple_SERCA_SOCE,2.4,1050,126.44
Ca_wave_simple_SERCA_SOCE,2.4,1050,114.05
Ca_wave_simple_SERCA_SOCE,2.4,1050,132.10
Ca_wave_simple_SERCA_SOCE,2.4,2000,225.89
Ca_wave_simple_SERCA_SOCE,2.4,2000,202.97
Ca_wave_simple_SERCA_SOCE,2.4,2000,151.23
Ca_wave_simple_SERCA_SOCE,2.4,2000,168.39
Ca_wave_simple_SERCA_SOCE,2.4,2000,147.94
Ca_wave_simple_SERCA_SOCE,2.4,2000,251.03
Ca_wave_simple_SERCA_SOCE,2.4,2000,183.63
Ca_wave_simple_SERCA_SOCE,2.4,2000,148.63
Ca_wave_simple_SERCA_SOCE,2.4,2000,133.86
Ca_wave_simple_SERCA_SOCE,2.4,2000,198.40
Ca_wave_simple_SERCA_SOCE,6.0,0175,55.15
Ca_wave_simple_SERCA_SOCE,6.0,0175,75.99
Ca_wave_simple_SERCA_SOCE,6.0,0175,60.17
Ca_wave_simple_SERCA_SOCE,6.0,0175,76.66
Ca_wave_simple_SERCA_SOCE,6.0,0175,63.45
Ca_wave_simple_SERCA_SOCE,6.0,0175,138.12
Ca_wave_simple_SERCA_SOCE,6.0,0175,100.25
Ca_wave_simple_SERCA_SOCE,6.0,0175,52.20
Ca_wave_simple_SERCA_SOCE,6.0,0175,52.59
Ca_wave_simple_SERCA_SOCE,6.0,0175,55.16
Ca_wave_simple_SERCA_SOCE,6.0,0350,52.15
Ca_wave_simple_SERCA_SOCE,6.0,0350,81.03
Ca_wave_simple_SERCA_SOCE,6.0,0350,58.80
Ca_wave_simple_SERCA_SOCE,6.0,0350,62.53
Ca_wave_simple_SERCA_SOCE,6.0,0350,68.28
Ca_wave_simple_SERCA_SOCE,6.0,0350,53.56
Ca_wave_simple_SERCA_SOCE,6.0,0350,55.52
Ca_wave_simple_SERCA_SOCE,6.0,0350,47.49
Ca_wave_simple_SERCA_SOCE,6.0,0350,79.70
Ca_wave_simple_SERCA_SOCE,6.0,0350,44.92
Ca_wave_simple_SERCA_SOCE,6.0,0700,59.63
Ca_wave_simple_SERCA_SOCE,6.0,0700,104.02
Ca_wave_simple_SERCA_SOCE,6.0,0700,85.45
Ca_wave_simple_SERCA_SOCE,6.0,0700,85.25
Ca_wave_simple_SERCA_SOCE,6.0,0700,71.97
Ca_wave_simple_SERCA_SOCE,6.0,0700,54.96
Ca_wave_simple_SERCA_SOCE,6.0,0700,59.83
Ca_wave_simple_SERCA_SOCE,6.0,0700,73.61
Ca_wave_simple_SERCA_SOCE,6.0,0700,85.61
Ca_wave_simple_SERCA_SOCE,6.0,0700,66.96
Ca_wave_simple_SERCA_SOCE,6.0,1050,73.20
Ca_wave_simple_SERCA_SOCE,6.0,1050,109.17
Ca_wave_simple_SERCA_SOCE,6.0,1050,91.50
Ca_wave_simple_SERCA_SOCE,6.0,1050,90.62
Ca_wave_simple_SERCA_SOCE,6.0,1050,92.21
Ca_wave_simple_SERCA_SOCE,6.0,1050,82.18
Ca_wave_simple_SERCA_SOCE,6.0,1050,77.20
Ca_wave_simple_SERCA_SOCE,6.0,1050,93.22
Ca_wave_simple_SERCA_SOCE,6.0,1050,98.87
Ca_wave_simple_SERCA_SOCE,6.0,1050,73.44
Ca_wave_simple_SERCA_SOCE,6.0,2000,77.16
Ca_wave_simple_SERCA_SOCE,6.0,2000,117.08
Ca_wave_simple_SERCA_SOCE,6.0,2000,91.03
Ca_wave_simple_SERCA_SOCE,6.0,2000,100.87
Ca_wave_simple_SERCA_SOCE,6.0,2000,104.63
Ca_wave_simple_SERCA_SOCE,6.0,2000,86.00
Ca_wave_simple_SERCA_SOCE,6.0,2000,88.19
Ca_wave_simple_SERCA_SOCE,6.0,2000,88.09
Ca_wave_simple_SERCA_SOCE,6.0,2000,103.68
Ca_wave_simple_SERCA_SOCE,6.0,2000,76.28
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0175,60.01
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0175,44.81
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0175,68.62
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0175,45.57
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0175,49.85
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0175,52.64
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0175,47.89
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0175,58.46
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0175,55.55
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0175,58.24
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0350,53.97
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0350,60.36
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0350,60.18
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0350,60.73
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0350,49.38
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0350,57.08
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0350,52.67
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0350,61.61
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0350,64.40
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0350,58.44
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0700,57.01
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0700,51.64
Ca_wave_no_RyR_simple_SERCA_SOCE,1.2,0700,52.47
